12-18July.csv,**********************************
/get /v1/checkout/pgResponse,4.95
/post /v1/cart/look,140.0
22-28June.csv,**********************************
/get /v1/cart,209.0
/post /v1/cart,330.0
/delete /v1/cart/:sku,285.0
/get /v1/cart/voucher,129.0
/get /v1/checkout/payment/methods,378.0
/post /v1/cart/voucher,327.0
/get /v1/checkout/order,375.0
/post /v1/shortlist/cart/move,141.0
/post /v1/checkout/success,218.0
/get /v1/checkout/address,191.0
/get /v1/checkout/lookup,155.0
/put /v1/cart,324.0
/post /v1/checkout/order/cod,349.0
/post /v1/checkout/address,279.0
/post /v1/checkout/pgResponse,43.4
/post /v1/user/checkout/login,87.9
/post /v1/checkout/guest/address,145.0
/post /v1/checkout/set/address,225.0
/post /v1/checkout/order/netbanking,327.0
/delete /v1/cart/voucher/:couponCode,285.0
/post /v1/user/checkout/guestlogin,370.0
/post /v1/checkout/order/express,331.0
/post /v1/checkout/order/creditdebit,260.0
/get /v1/checkout/pgResponse,5.91
/post /v1/cart/look,232.0
15-21June.csv,**********************************
/get /v1/cart,144.0
/post /v1/cart,148.0
/delete /v1/cart/:sku,197.0
/get /v1/cart/voucher,112.0
/post /v1/cart/voucher,356.0
/get /v1/checkout/payment/methods,162.0
/get /v1/checkout/order,129.0
/post /v1/shortlist/cart/move,185.0
/get /v1/checkout/address,72.7
/post /v1/checkout/success,238.0
/put /v1/cart,356.0
/post /v1/checkout/set/address,49.8
/get /v1/checkout/lookup,178.0
/post /v1/checkout/address,156.0
/post /v1/checkout/order/cod,125.0
/delete /v1/cart/voucher/:couponCode,311.0
/post /v1/checkout/pgResponse,56.4
/post /v1/user/checkout/guestlogin,443.0
/post /v1/user/checkout/login,105.0
/post /v1/checkout/guest/address,158.0
/post /v1/checkout/order/netbanking,465.0
/post /v1/checkout/order/express,403.0
/post /v1/checkout/order/creditdebit,345.0
/post /v1/cart/look,245.0
/get /v1/checkout/pgResponse,7.53
