new_urls,count
https://www.jabong.com/men-wallet,1320
https://www.jabong.com/swarovski-create-your-style-shop-online,0
https://www.jabong.com/men-shorts,3887
https://www.jabong.com/men-reebok,1173
https://www.jabong.com/men-thermals,191
https://www.jabong.com/women-suit-sets,3587
https://www.jabong.com/men-us_polo_assn,1993
https://www.jabong.com/men-us_polo_assn,1993
https://www.jabong.com/men-casual-shirts,28430
https://www.jabong.com/men-polo-tshirts,499
https://www.jabong.com/women-trousers,4693
https://www.jabong.com/men-formal-trousers,4
https://www.jabong.com/women-color-black,143
https://www.jabong.com/men-buckaroo,153
https://www.jabong.com/men-high-neck-t-shirts,34
https://www.jabong.com/us_polo_assn,3257
https://www.jabong.com/men-adidas,2407
https://www.jabong.com/men-vans,366
https://www.jabong.com/men-casual-shoes,14489
https://www.jabong.com/women-color-red,67
https://www.jabong.com/termsofuse-jabongpoints,0
https://www.jabong.com/women-shorts,1650
https://www.jabong.com/men-color-white,318
https://www.jabong.com/shoes-aldo,83
https://www.jabong.com/men-us_polo_assn,1993
https://www.jabong.com/women-heels,10226
https://www.jabong.com/women-dupattas,895
https://www.jabong.com/men-puma,3951
https://www.jabong.com/women-kurtas-kurtis,22065
https://www.jabong.com/men-kurta-pyjamas,1787
https://www.jabong.com/support-faq,40
https://www.jabong.com/women-baggit,729
https://www.jabong.com/contact,10
https://www.jabong.com/designer,20
https://www.jabong.com/women-kurtis,1462
https://www.jabong.com/women-color-black,143
https://www.jabong.com/shoes-adidas-neo,79
https://www.jabong.com/women-maternity-wear,8
https://www.jabong.com/women-watches,2644
https://www.jabong.com/men-shirts,32475
https://www.jabong.com/pantaloons-shop-online,378
https://www.jabong.com/customer-trackorder,0
https://www.jabong.com/men-suits,1363
https://www.jabong.com/women-lakme,338
https://www.jabong.com/men-sports-shoes,3857
https://www.jabong.com/women-maxi-dresses,3222
https://www.jabong.com/men-adidas-neo,190
https://www.jabong.com/women-aks,1149
https://www.jabong.com/men-nike,1242
https://www.jabong.com/men-franco_leone,398
https://www.jabong.com/women-stilettos,2399
https://www.jabong.com/women-color-white,98
https://www.jabong.com/men-trackpants,3474
https://www.jabong.com/men-online-sale,176131
https://www.jabong.com/home-living-bombay-dyeing,317
https://www.jabong.com/women-libas,635
https://www.jabong.com/women-allaboutyoufromdeepikapadukone,243748
https://www.jabong.com/men-vests,909
https://www.jabong.com/men-adidas,2407
https://www.jabong.com/kids-kids-sports-shoes,293
https://www.jabong.com/accessorize,1564
https://www.jabong.com/nike-shop-online,0
https://www.jabong.com/men-fj-rings-bands,242
https://www.jabong.com/bigbrandsale-women,243748
https://www.jabong.com/women-color-yellow,42
https://www.jabong.com/women-new-products,243748
https://www.jabong.com/women-guess,160
https://www.jabong.com/men-belts,1579
https://www.jabong.com/louisphilippe,1632
