Action,Apdex,Count,Avg (ms),SD (ms),Min (ms),Max (ms),Total (ms),Total (% time),Dissat (%)
Root path,0.97 [0.2],441216375.16383225,59.1,93.9,0.333,30100,26100000000,100.0,100.0
/get /v1/search,0.96 [0.2],101240378.10995345,88.8,88.6,0.358,5890,8990000000,38.4,38.6
/get /v1/products/dynamic/sku/:sku,1.0 [0.2],48082695.35322575,38.4,43.7,0.355,15100,1850000000,07.9,01.7
/get /v2/products/sku/:sku,1.0 [0.2],34178097.71149513,53.1,55.0,0.379,5650,1810000000,07.7,01.3
/get /v1/search/suggest,0.91 [0.2],11368087.633381749,109,137,0.414,5120,1240000000,05.3,10.4
/get /v1/search/recommend/:type,1.0 [0.2],36325566.119606115,28.0,24.1,0.401,13600,1020000000,04.3,00.4
/get /v1/products/recentlist,1.0 [0.2],53926441.86785914,18.8,53.6,0.335,7830,1010000000,04.3,01.4
/get /v1/shortlist,0.97 [0.2],16723072.420142502,54.6,71.0,0.333,5780,913000000,03.9,03.9
/get /v1/banner,0.94 [0.2],4943546.992691881,167,184,0.47,7140,824000000,03.5,03.0
/get /v1/cart,0.84 [0.2],5657916.760328416,131,115,0.377,15300,739000000,03.1,06.4
/post /v1/cart,0.56 [0.2],2806856.720392294,232,191,0.372,16300,651000000,02.8,08.4
/get /v1/search/trending,1.0 [0.2],5633999.958827498,105,24.4,0.48,4370,593000000,02.5,00.0
/get /v1/initapi/getsegmentkey,0.97 [0.2],13264324.40271281,44.5,136,0.438,15500,590000000,02.5,03.4
/post /v1/device/voucher,0.99 [0.2],3687981.6828116244,103,88.5,0.403,17600,378000000,01.6,00.3
/post /v1/shortlist,1.0 [0.2],9551412.935027506,32.1,21.0,0.356,3090,307000000,01.3,00.0
/get /v1/initapi,1.0 [0.2],8871770.220844721,33.0,26.0,0.387,4050,293000000,01.2,00.0
/delete /v1/cart/:sku,0.63 [0.2],1588328.4819081612,160,164,0.369,30100,253000000,01.1,03.3
/get /v1/initapi/timestamps,0.98 [0.2],5834133.888399648,39.6,153,0.406,8450,231000000,01.0,01.2
/delete /v1/shortlist/:sku,1.0 [0.2],7416138.17491451,26.3,16.4,0.352,3130,195000000,00.8,00.0
/get /v1/order/status/time/from/:fromMonth/to/:toMonth/:status,0.43 [0.2],285322.30248034076,595,665,0.474,13200,170000000,00.7,01.2
/post /v1/cart/voucher,0.51 [0.2],448024.73498233216,324,121,0.515,3030,145000000,00.6,02.1
/get /v1/cart/voucher,0.86 [0.2],1026457.2227701638,138,172,0.359,14500,141000000,00.6,01.1
/get /v2/order/:orderNumber,0.15 [0.2],190328.83073509394,731,473,0.513,6420,139000000,00.6,01.2
/get /v1/checkout/payment/methods,0.48 [0.2],389758.2626168744,245,346,0.38,14400,95500000,00.4,00.8
/get /v1/offer,1.0 [0.2],623676.4698770378,106,19.9,0.511,1980,66300000,00.3,00.0
/post /v1/shortlist/cart/move,0.75 [0.2],244188.50702566534,253,267,0.517,4500,61900000,00.3,00.6
/get /v1/checkout/order,0.51 [0.2],334211.7679387215,185,323,0.381,15000,61700000,00.3,00.5
/get /v1/user/postlogin,0.79 [0.2],270807.577725604,209,112,0.59,3700,56700000,00.2,00.6
/post /v1/user/login,0.89 [0.2],605200.2012900865,85.6,140,0.39,9110,51800000,00.2,00.3
/post /v1/device/info,0.99 [0.2],427079.76041486266,119,29.5,0.765,2100,51000000,00.2,00.0
/get /v1/products/tat/:sku,0.81 [0.2],273610.84608409373,178,74.5,0.648,3160,48600000,00.2,00.5
/get /v1/checkout/address,0.81 [0.2],348295.24140235473,88.0,120,0.383,6810,30600000,00.1,00.3
/put /v1/cart,0.5 [0.2],78780.93611430448,345,142,0.709,2890,27200000,00.1,00.4
/get /v1/order,0.45 [0.2],50672.25081615247,523,260,0.776,4890,26500000,00.1,00.2
/get /v1/juice/categories,0.99 [0.2],214887.27647025185,117,74.4,0.459,3260,25100000,00.1,00.0
/get /v1/order/reasons/secondary/:primaryReasonId,0.51 [0.2],54172.52215744202,450,134,0.729,2570,24400000,00.1,00.2
/post /v1/tinyurl,0.96 [0.2],143570.0144104932,168,28.4,0.705,2240,24100000,00.1,00.1
/post /v1/checkout/success,0.57 [0.2],84284.0764372915,246,58.3,0.648,2470,20700000,00.1,00.4
/post /v1/user,0.58 [0.2],64741.02825100605,286,128,0.92,1850,18500000,00.1,00.3
/post /v1/order/return/address,0.54 [0.2],63954.199221622046,289,84.6,0.752,2810,18500000,00.1,00.3
/get /v1/checkout/lookup,0.81 [0.2],80894.06705751644,189,77.8,0.891,2390,15300000,00.1,00.2
/get /v1/account/bankDetails,0.71 [0.2],73187.18936564421,206,76.7,0.752,5290,15100000,00.1,00.2
/post /v1/user/logout/:userId,0.54 [0.2],53232.04549168274,260,70.5,0.842,3530,13800000,00.1,00.2
/post /v1/order/return/review,0.5 [0.2],29696.532114949066,462,154,0.802,2520,13700000,00.1,00.1
/get /v1/account/smsoptstatus,0.98 [0.2],83790.05352976163,159,25.0,0.722,2180,13300000,00.1,00.0
/post /v1/checkout/address,0.56 [0.2],50711.13876789048,251,169,0.423,13800,12700000,00.1,00.2
/post /v1/checkout/set/address,0.77 [0.2],244723.2552022316,50.3,87.5,0.385,5470,12300000,00.1,00.1
/get /v1/juice/article/:id,0.98 [0.2],77658.8940375277,133,105,0.697,3060,10300000,00.0,00.0
/post /v1/order/return/summary,0.53 [0.2],22060.001242532544,455,200,0.979,2630,10000000,00.0,00.1
/get /v1/account/:id,0.85 [0.2],55448.04518562935,176,156,0.728,3670,9770000,00.0,00.1
/get /v1/account/cards,0.5 [0.2],26829.289400322243,310,76.1,0.678,3060,8310000,00.0,00.1
/get /v2/products/:id,0.98 [0.2],101884.33139667871,78.5,142,0.474,4870,8000000,00.0,00.0
/get /v1/products/sku/:sku,0.97 [0.2],131514.2215730293,60.1,105,0.419,3620,7900000,00.0,00.0
/delete /v1/cart/voucher/:couponCode,0.57 [0.2],28779.051009259307,270,98.0,0.819,2200,7780000,00.0,00.1
/post /v1/user/forgotpassword,0.66 [0.2],31443.335048893463,235,138,0.842,1220,7390000,00.0,00.1
/post /v1/checkout/order/cod,0.59 [0.2],29573.29941068728,236,535,0.417,24900,6970000,00.0,00.0
/get /v2/order/:orderNumber/cancel/list,0.5 [0.2],14269.484696957057,465,157,0.826,2620,6640000,00.0,00.1
/get /v1/order/return/initiate,0.33 [0.2],11862.854005581736,549,294,0.851,3080,6510000,00.0,00.1
/post /v1/user/login/fb,0.0 [0.2],43974.17128516156,146,439,0.697,5340,6420000,00.0,00.4
/put /v1/account/:id,0.6 [0.2],23757.095545647193,244,91.6,0.779,2350,5810000,00.0,00.1
/get /v1/order/listing/detail,0.48 [0.2],11462.747998664687,493,176,0.749,2820,5650000,00.0,00.1
/post /v1/checkout/pgResponse,0.94 [0.2],53699.15160119531,89.6,241,0.57,3070,4810000,00.0,00.0
/delete /v1/account/address/:addressId,0.5 [0.2],13671.620633292267,267,66.8,1.21,2320,3650000,00.0,00.1
/post /v1/user/checkout/guestlogin,0.51 [0.2],8246.777110304323,426,128,0.873,1280,3520000,00.0,00.0
/get /v1/account/address,1.0 [0.2],49970.06971664033,63.5,31.8,0.982,2360,3170000,00.0,00.0
/post /v1/checkout/order/netbanking,0.55 [0.2],6025.073782647616,495,531,0.747,5850,2990000,00.0,00.0
/post /v1/user/checkout/login,0.98 [0.2],27308.769994484283,102,110,1.14,3960,2800000,00.0,00.0
/get /v1/order/exchange/initiate,0.34 [0.2],4536.291675249389,565,318,0.936,2960,2560000,00.0,00.0
/get /v1/order/:orderNumber,0.18 [0.2],3612.82364839029,630,392,1.04,2050,2270000,00.0,00.0
/post /v1/checkout/guest/address,0.92 [0.2],13263.970411186878,164,48.8,1.52,1220,2170000,00.0,00.0
