Action,Apdex,Count,Avg (ms),SD (ms),Min (ms),Max (ms),Total (ms),Total (% time),Dissat (%)
/post /v1/order/exchange/address,0.52 [0.2],4490.276506134408,450,214,0.911,1180,2020000,00.0,00.0
/post /v1/account/bankDetails,0.7 [0.2],9541.994621143547,200,53.1,0.973,966,1910000,00.0,00.0
/post /v1/checkout/order/express,0.16 [0.2],2293.412422741834,736,563,0.949,3110,1690000,00.0,00.0
/post /v1/checkout/order/creditdebit,0.3 [0.2],2421.6474307367153,660,573,0.927,2800,1600000,00.0,00.0
/put /v1/account/address,0.9 [0.2],8854.74738925046,177,39.2,0.654,2160,1570000,00.0,00.0
/delete /v1/shortlist/multi/:skus,0.91 [0.2],7425.769870552594,136,191,3.48,3050,1010000,00.0,00.0
/post /v1/order/exchange/summary,0.37 [0.2],1666.212622314009,559,353,0.758,3420,932000,00.0,00.0
/get /v1/address/locality/:pincode,1.0 [0.2],30170.778755018047,26.5,21.1,0.488,2020,800000,00.0,00.0
/get /v1/order/exchange/serviceability,0.87 [0.2],4190.124493667474,190,42.3,1.52,463,798000,00.0,00.0
/post /v1/account/address,0.93 [0.2],4747.336554619102,168,32.7,2.92,369,796000,00.0,00.0
/get /v1/order/exchange/address/check,0.61 [0.2],2836.633663366337,231,66.7,1.13,800,655000,00.0,00.0
/get /v1/products/sizechart/sku/:sku,0.98 [0.2],7493.826315711931,65.0,66.5,0.528,1010,487000,00.0,00.0
/post /v1/order/address,0.57 [0.2],1478.648857569166,289,108,0.863,630,427000,00.0,00.0
/get /v1/products/:id,0.95 [0.2],2454.782983954282,111,116,4.33,2320,271000,00.0,00.0
/delete /v1/account/cards/:cardtoken,0.5 [0.2],818.3291550962696,304,73.6,3.2,517,249000,00.0,00.0
/delete /v1/account/bankDetails/:accountId,0.69 [0.2],772.2792388458777,203,47.7,10.6,366,156000,00.0,00.0
/post /v1/appcallback,0.98 [0.2],753.9089367104764,135,48.1,14.0,288,102000,00.0,00.0
/get /v1/stock/multi/sku/:simples,1.0 [0.2],4489.364949450357,18.6,16.0,7.1,783,83500,00.0,00.0
/get /v1/referral/code,0.87 [0.2],387.06986663769277,188,28.9,5.84,284,72700,00.0,00.0
/post /v1/cart/look,0.62 [0.2],249.0,269,149,4.96,737,66900,00.0,00.0
get /,0.98 [0.2],6460.638975756566,7.29,24.8,1.81,1050,47100,00.0,00.0
/get /v1/checkout/pgResponse,1.0 [0.2],3567.613125858923,7.35,16.1,2.63,740,26200,00.0,00.0
/get /v1/user/jc,0.65 [0.2]*,55.46261422067927,250,88.2,141,687,13900,00.0,00.0
/get /v1/referral/history,0.98 [0.2]*,42.0,158,17.6,135,207,6620,00.0,00.0
delete /,1.0 [0.2]*,44.0,7.64,3.79,3.09,26.5,336,00.0,00.0
/get /v1/brand,NS [0.2]*,2.0,152,52.8,114,189,303,00.0,00.0
post /,0.0 [0.2]*,13.0,9.89,4.65,5.87,24.4,129,00.0,00.0
head /,1.0 [0.2]*,2.0,10.3,1.48,9.25,11.3,20.6,00.0,00.0
put /,1.0 [0.2]*,3.0,6.39,1.78,4.96,8.39,19.2,00.0,00.0
