Action,Apdex,Count,Avg (ms),SD (ms),Min (ms),Max (ms),Total (ms),Total (% time),Dissat (%)
Root path,0.98 [0.2],354034440.563476,58.3,92.7,0.364,60100,20700000000,100.0,100.0
/get /v1/search,0.97 [0.2],84986795.2488163,81.7,70.6,0.395,21900,6950000000,36.3,38.7
/get /v1/products/dynamic/sku/:sku,0.98 [0.2],37186622.93050659,75.0,69.4,0.393,30400,2790000000,14.6,12.4
/get /v2/products/sku/:sku,1.0 [0.2],36087741.23759513,54.3,45.3,0.381,60000,1960000000,10.2,01.6
/get /v1/products/recentlist,1.0 [0.2],40911695.594861925,34.0,44.6,0.382,57500,1390000000,07.3,01.5
/get /v1/search/recommend/:type,1.0 [0.2],35734392.65429094,26.6,21.4,0.419,31900,952000000,05.0,00.8
/get /v1/search/suggest,0.96 [0.2],11545837.316071354,71.0,95.6,0.45,39400,820000000,04.3,08.8
/get /v1/shortlist,0.99 [0.2],10951616.360540995,50.0,68.3,0.379,60000,547000000,02.9,02.5
/get /v1/search/trending,1.0 [0.2],4636630.369017315,101,18.9,0.436,3230,468000000,02.4,00.0
/get /v1/initapi,1.0 [0.2],8928748.117335286,51.0,30.1,0.459,14800,455000000,02.4,00.3
/get /v1/banner,0.99 [0.2],3616349.415251496,120,117,0.503,18200,432000000,02.3,00.9
/get /v1/cart,0.69 [0.2],2750738.3208780866,155,177,0.364,59900,426000000,02.2,10.5
/post /v1/shortlist,0.92 [0.2],2926118.6410438227,88.9,296,0.369,60000,260000000,01.4,03.2
/post /v1/device/voucher,1.0 [0.2],2474978.619673299,101,24.9,0.469,7150,251000000,01.3,00.0
/get /v1/initapi/getsegmentkey,1.0 [0.2],12322241.947005022,16.9,60.8,0.479,32600,208000000,01.1,00.5
/post /v1/cart,0.61 [0.2],1432810.4343563896,143,297,0.396,36100,205000000,01.1,03.5
/get /v1/cart/voucher,0.87 [0.2],837385.8163768793,126,221,0.428,31100,105000000,00.6,01.6
/get /v1/initapi/timestamps,1.0 [0.2],5449346.241042516,15.7,85.1,0.498,34100,85500000,00.4,00.3
/delete /v1/cart/:sku,0.55 [0.2],344465.73972714646,216,221,0.457,30300,74400000,00.4,01.8
/delete /v1/shortlist/:sku,1.0 [0.2],1607303.2704577202,40.4,95.0,0.399,54700,64900000,00.3,00.1
/get /v1/offer,1.0 [0.2],598695.2210099109,102,19.4,0.499,2070,61300000,00.3,00.0
/post /v1/device/info,1.0 [0.2],414226.43333175394,116,28.4,0.556,6520,47900000,00.3,00.0
/get /v1/checkout/payment/methods,0.38 [0.2],191434.72114658798,240,502,0.448,30900,46000000,00.2,00.6
/post /v1/cart/voucher,0.5 [0.2],147874.12421513893,300,178,0.586,7810,44300000,00.2,01.0
/post /v1/user/login,0.92 [0.2],229753.84102605996,187,1540,0.474,60100,42900000,00.2,00.2
/get /v2/order/:orderNumber,0.06 [0.2],95076.57709030127,439,469,0.51,11800,41800000,00.2,00.6
/get /v1/checkout/order,0.37 [0.2],159184.264412252,210,571,0.447,38000,33400000,00.2,00.5
/get /v1/order/status/time/from/:fromMonth/to/:toMonth/:status,0.4 [0.2],119227.19480833516,262,435,0.531,39200,31200000,00.2,00.4
/get /v1/products/sku/:sku,0.97 [0.2],556423.628752651,49.9,411,0.417,60000,27800000,00.1,00.2
/get /v1/user/postlogin,0.74 [0.2],139665.9940625669,191,107,0.56,2370,26700000,00.1,00.6
/get /v1/juice/categories,1.0 [0.2],218941.99923536158,109,48.9,0.561,2100,23900000,00.1,00.0
/post /v1/tinyurl,0.98 [0.2],122423.64497250243,159,30.5,0.538,2300,19500000,00.1,00.0
/get /v1/checkout/address,0.81 [0.2],159828.9113673386,117,350,0.448,15300,18700000,00.1,00.2
/post /v1/shortlist/cart/move,0.92 [0.2],158922.61185677757,116,215,0.59,11900,18500000,00.1,00.2
/get /v1/products/tat/:sku,0.89 [0.2],128378.28605226052,141,84.8,0.586,4090,18100000,00.1,00.3
/get /v1/juice/article/:id,0.99 [0.2],147996.1715733768,114,56.1,0.544,4150,16800000,00.1,00.0
/post /v1/checkout/order/cod,0.35 [0.2],42136.69640070525,336,1300,0.483,30800,14200000,00.1,00.1
/post /v1/checkout/success,0.59 [0.2],52257.39512329018,221,72.7,0.507,1790,11500000,00.1,00.4
/get /v1/account/smsoptstatus,0.99 [0.2],71190.02676304412,154,28.3,0.547,1060,11000000,00.1,00.0
/get /v1/checkout/lookup,0.88 [0.2],63012.74309736639,161,70.1,0.498,2940,10200000,00.1,00.1
/get /v1/account/bankDetails,0.68 [0.2],46244.64537211012,198,68.0,0.514,1500,9140000,00.0,00.3
/post /v1/checkout/set/address,0.66 [0.2],89624.27475825275,101,379,0.468,30500,9060000,00.0,00.1
/get /v1/referral/code,0.95 [0.2],46118.37904430146,173,37.1,0.565,1640,7960000,00.0,00.0
/post /v1/user,0.63 [0.2],33786.54467028299,226,120,0.691,10400,7620000,00.0,00.2
/put /v1/cart,0.49 [0.2],24070.879705354182,312,199,0.681,2060,7500000,00.0,00.2
/post /v1/order/return/address,0.53 [0.2],25386.722797292394,255,100,0.603,1030,6470000,00.0,00.2
/post /v1/checkout/address,0.62 [0.2],31807.124176169058,191,572,0.465,21100,6080000,00.0,00.1
/get /v2/products/:id,0.99 [0.2],92527.51540343018,61.9,67.9,0.472,4340,5730000,00.0,00.0
/get /v1/order,0.42 [0.2],13569.661701821606,364,319,0.547,5730,4940000,00.0,00.1
/get /v1/account/:id,0.93 [0.2],35045.81771600924,126,189,0.693,29300,4400000,00.0,00.0
/get /v1/order/reasons/secondary/:primaryReasonId,0.5 [0.2],13298.074801817835,309,207,0.67,1420,4110000,00.0,00.1
/post /v1/user/logout/:userId,0.55 [0.2],16516.87891532602,239,82.0,0.579,1560,3950000,00.0,00.1
/delete /v1/cart/voucher/:couponCode,0.52 [0.2],11038.836940662472,267,129,0.699,1380,2950000,00.0,00.1
/post /v1/checkout/pgResponse,0.98 [0.2],61095.420650532964,46.6,150,0.676,2510,2850000,00.0,00.0
/post /v1/user/checkout/login,0.99 [0.2],30551.47344273866,92.5,58.1,0.567,1890,2830000,00.0,00.0
/get /v1/account/cards,0.53 [0.2],9775.465889258565,264,124,0.535,8060,2590000,00.0,00.1
/post /v1/order/return/review,0.49 [0.2],8685.889101338431,295,226,0.665,1960,2570000,00.0,00.0
/post /v1/user/forgotpassword,0.78 [0.2],14030.529117560076,181,559,0.765,60000,2540000,00.0,00.1
/post /v1/checkout/guest/address,0.96 [0.2],16735.5968429825,148,44.1,0.688,1260,2480000,00.0,00.0
/get /v1/account/address,1.0 [0.2],42038.11350658051,56.4,17.8,0.601,717,2370000,00.0,00.0
/put /v1/account/:id,0.65 [0.2],10983.571254679047,211,93.8,0.746,1870,2320000,00.0,00.1
/post /v1/order/return/summary,0.53 [0.2],7008.8591376199565,303,248,0.783,1950,2120000,00.0,00.0
/delete /v1/account/address/:addressId,0.59 [0.2],8349.640386596673,224,76.7,0.77,657,1870000,00.0,00.1
/get /v2/order/:orderNumber/cancel/list,0.48 [0.2],4680.381772815435,348,226,0.657,1150,1630000,00.0,00.0
/get /v1/order/return/initiate,0.19 [0.2],4614.84685320858,346,352,0.604,2320,1600000,00.0,00.0
/get /v1/referral/history,0.99 [0.2],10219.371538666435,153,27.2,0.56,864,1560000,00.0,00.0
