Action,Apdex,Count,Avg (ms),SD (ms),Min (ms),Max (ms),Total (ms),Total (% time),Dissat (%)
/post /v1/account/bankDetails,0.63 [0.2],6395.727532120317,200,54.6,0.746,447,1280000,00.0,00.0
/post /v1/user/checkout/guestlogin,0.58 [0.2],3665.6824045006683,346,974,0.867,58100,1270000,00.0,00.0
/put /v1/account/address,0.91 [0.2],7019.953238426838,169,41.1,0.75,457,1190000,00.0,00.0
/post /v1/checkout/order/netbanking,0.33 [0.2],3805.62619718494,311,421,0.691,4350,1180000,00.0,00.0
/get /v1/order/listing/detail,0.46 [0.2],2699.115623976417,364,244,0.829,1380,982000,00.0,00.0
/post /v1/user/login/fb,0.0 [0.2],30404.97483011759,29.9,230,0.806,21100,908000,00.0,00.5
/post /v1/checkout/order/express,0.26 [0.2],2813.8553153659605,322,465,0.812,8600,906000,00.0,00.0
/post /v1/checkout/order/creditdebit,0.48 [0.2],2475.3470019031633,266,409,0.706,5140,658000,00.0,00.0
/get /v1/address/locality/:pincode,1.0 [0.2],27477.567107815343,23.7,14.2,1.66,377,650000,00.0,00.0
/get /v1/products/multi/sku/:skus,0.98 [0.2],6828.723736320128,87.8,62.8,0.56,1120,600000,00.0,00.0
/post /v1/account/address,0.95 [0.2],3232.7390477809504,164,35.5,0.674,320,529000,00.0,00.0
/delete /v1/shortlist/multi/:skus,0.95 [0.2],5093.273160122939,103,110,1.01,1950,522000,00.0,00.0
/get /v1/order/exchange/address/check,0.55 [0.2],1429.1138681619498,217,68.5,1.13,982,310000,00.0,00.0
/get /v1/order/exchange/initiate,0.24 [0.2],923.1266497872111,325,353,0.75,1970,300000,00.0,00.0
/get /v1/products/sizechart/sku/:sku,1.0 [0.2],10025.597913735717,27.9,28.0,1.12,1260,280000,00.0,00.0
/get /v1/products/:id,0.99 [0.2],2198.32021769508,82.4,73.9,4.88,1520,181000,00.0,00.0
/post /v1/order/exchange/address,0.5 [0.2],577.1086984322689,307,252,0.811,1210,177000,00.0,00.0
/post /v1/order/address,0.6 [0.2],616.5109102131213,240,138,2.1,541,148000,00.0,00.0
get /,1.0 [0.2],20698.528015737764,6.03,4.93,1.94,392,125000,00.0,00.0
/post /v1/appcallback,0.99 [0.2],1023.9528892160471,119,51.5,0.792,358,122000,00.0,00.0
/get /v1/order/:orderNumber,0.05 [0.2],254.38218528019917,461,469,0.88,1590,117000,00.0,00.0
/post /v1/order/exchange/summary,0.37 [0.2],378.5931043547552,279,340,1.04,1380,106000,00.0,00.0
/delete /v1/account/bankDetails/:accountId,0.68 [0.2],536.4986791999726,191,59.1,1.11,361,102000,00.0,00.0
/delete /v1/account/cards/:cardtoken,0.53 [0.2],380.99293200417384,262,92.6,1.31,448,99700,00.0,00.0
/get /v1/stock/multi/sku/:simples,1.0 [0.2],4847.389164493421,15.7,10.3,1.62,221,76300,00.0,00.0
/get /v1/order/exchange/serviceability,0.81 [0.2],354.7685957351542,186,55.8,0.696,381,66100,00.0,00.0
/post /v1/cart/look,0.63 [0.2],133.0,279,217,11.9,1690,37100,00.0,00.0
/get /v1/checkout/pgResponse,1.0 [0.2],4039.954629165405,7.34,18.8,2.1,710,29600,00.0,00.0
/get /v1/user/jc,0.8 [0.2]*,37.0,173,87.3,1.08,357,6410,00.0,00.0
/get /v1/brand,NS [0.2]*,1.0,471,0,471,471,471,00.0,00.0
delete /,1.0 [0.2]*,72.0,5.42,4.2,2.26,27.0,390,00.0,00.0
/get /v1/products/multi/:ids,1.0 [0.2]*,2.0,33.2,6.49,28.6,37.7,66.3,00.0,00.0
head /,1.0 [0.2]*,2.0,9.36,4.78,5.98,12.7,18.7,00.0,00.0
post /,0.33 [0.2]*,3.0,3.1,0.211,2.87,3.28,9.3,00.0,00.0
put /,1.0 [0.2]*,1.0,4.56,0,4.56,4.56,4.56,00.0,00.0
