Action,Apdex,Count,Avg (ms),SD (ms),Min (ms),Max (ms),Total (ms),Total (% time),Dissat (%)
Root path,0.99 [0.2],976550134.8490913,45.7,55.3,0.371,30000,44700000000,100.0,100.0
/get /v1/search,0.99 [0.2],231085250.9948801,67.8,55.7,0.371,5520,15700000000,37.5,45.5
/get /v1/products/dynamic/sku/:sku,0.99 [0.2],98265692.55684158,75.8,64.0,0.373,30000,7450000000,17.8,10.9
/get /v2/products/sku/:sku,1.0 [0.2],111414561.60202809,44.7,29.8,0.378,15700,4990000000,11.9,01.8
/get /v1/search/recommend/:type,1.0 [0.2],132898694.90414952,20.4,16.8,0.398,2930,2710000000,06.5,00.7
/get /v1/products/recentlist,1.0 [0.2],114871437.5025121,18.1,26.4,0.42,4190,2080000000,05.0,00.6
/get /v1/shortlist,0.99 [0.2],26068733.934206508,49.2,48.1,0.373,17100,1280000000,03.1,03.8
/get /v1/search/suggest,0.98 [0.2],24167206.95036739,51.2,73.9,0.383,4040,1240000000,03.0,07.9
/get /v1/banner,0.98 [0.2],7739387.619100539,120,104,0.402,4020,929000000,02.2,02.5
/get /v1/cart,0.95 [0.2],5159830.5741729485,126,68.1,0.404,19100,648000000,01.6,03.2
/get /v1/search/trending,1.0 [0.2],6454268.833560163,94.8,24.4,0.385,1980,612000000,01.5,00.0
/get /v1/initapi/getsegmentkey,1.0 [0.2],35809963.47915594,16.5,48.1,0.403,4020,591000000,01.4,02.0
/post /v1/device/voucher,1.0 [0.2],5417098.0698817875,97.1,30.8,0.409,2820,526000000,01.3,00.1
/post /v1/shortlist,1.0 [0.2],12836870.361403354,38.5,18.1,0.401,3100,494000000,01.2,00.1
/get /v1/initapi,1.0 [0.2],13639293.5600664,27.0,19.2,0.438,2060,369000000,00.9,00.0
/post /v1/cart,0.54 [0.2],1744041.625104043,172,161,0.411,2980,300000000,00.7,05.6
/delete /v1/shortlist/:sku,1.0 [0.2],5996896.774804487,35.0,14.7,0.378,3060,210000000,00.5,00.0
/get /v1/initapi/timestamps,1.0 [0.2],13390390.301477652,14.8,54.9,0.415,7610,198000000,00.5,00.7
/get /v1/cart/voucher,0.98 [0.2],1911127.4929223028,91.2,52.4,0.392,7760,174000000,00.4,00.6
/get /v1/offer,1.0 [0.2],1634747.6791815008,98.2,24.2,0.406,1940,161000000,00.4,00.0
