Action,Apdex,Count,Avg (ms),SD (ms),Min (ms),Max (ms),Total (ms),Total (% time),Dissat (%)
/delete /v1/cart/:sku,0.64 [0.2],788082.2462491788,161,134,0.41,2840,127000000,00.3,02.3
/post /v1/device/info,1.0 [0.2],932106.022243044,109,31.0,0.42,1380,101000000,00.2,00.0
/get /v2/order/:orderNumber,0.1 [0.2],410151.3938426805,224,399,0.407,5280,91800000,00.2,01.0
/get /v1/order/status/time/from/:fromMonth/to/:toMonth/:status,0.33 [0.2],535570.9493399216,161,326,0.438,9850,86400000,00.2,00.8
/get /v1/user/postlogin,0.93 [0.2],498469.36358634423,123,76.5,0.418,2680,61100000,00.1,00.4
/get /v1/checkout/payment/methods,0.37 [0.2],421813.220101998,143,257,0.414,3520,60400000,00.1,00.6
/post /v1/cart/voucher,0.51 [0.2],333155.137277519,164,146,0.43,2300,54800000,00.1,01.1
/post /v1/user/login,0.97 [0.2],585989.9378072384,91.9,71.6,0.423,1600,53900000,00.1,00.2
/get /v1/juice/categories,1.0 [0.2],444675.16514627245,103,39.5,0.394,2300,45900000,00.1,00.0
/post /v1/tinyurl,0.98 [0.2],323272.6163344153,139,51.4,0.43,1250,44900000,00.1,00.1
/post /v1/shortlist/cart/move,0.95 [0.2],613635.3100627221,67.9,141,0.431,8130,41600000,00.1,00.4
/get /v1/checkout/order,0.32 [0.2],275834.96265069913,138,259,0.42,3220,38200000,00.1,00.4
/get /v1/products/tat/:sku,0.96 [0.2],257180.96198816993,106,70.0,0.42,1250,27200000,00.1,00.1
/get /v1/account/smsoptstatus,0.99 [0.2],152769.3422495031,127,51.2,0.433,889,19400000,00.0,00.0
/get /v1/checkout/address,0.91 [0.2],128504.90364690033,135,87.6,0.45,1390,17400000,00.0,00.1
/get /v1/checkout/lookup,0.92 [0.2],135548.95247764245,119,68.6,0.438,1220,16200000,00.0,00.1
/post /v1/checkout/success,0.63 [0.2],95972.59021637247,152,106,0.432,3310,14600000,00.0,00.3
/put /v1/cart,0.51 [0.2],79767.0581796074,167,169,0.46,2220,13300000,00.0,00.2
/post /v1/user,0.66 [0.2],71378.45584020842,182,129,0.447,1530,13000000,00.0,00.3
/get /v2/products/:id,0.99 [0.2],249361.96168612433,51.5,62.0,0.491,2990,12800000,00.0,00.0
/get /v1/account/:id,0.97 [0.2],122063.9154548806,92.4,79.5,0.425,2220,11300000,00.0,00.1
/get /v1/account/bankDetails,0.81 [0.2],68104.28718889781,166,75.8,0.478,1560,11300000,00.0,00.2
/get /v1/account/address,1.0 [0.2],180084.55671342948,56.4,17.0,0.418,2090,10200000,00.0,00.0
/post /v1/user/logout/:userId,0.55 [0.2],48721.61855799947,184,105,0.461,2570,8950000,00.0,00.2
/get /v1/juice/article/:id,0.99 [0.2],66577.25886761291,114,75.7,0.463,2390,7600000,00.0,00.0
/get /v1/order,0.45 [0.2],33259.288168417326,218,280,0.464,2810,7250000,00.0,00.1
/get /v2/order/:orderNumber/cancel/list,0.48 [0.2],34588.443317197554,198,235,0.467,1430,6860000,00.0,00.1
/post /v1/order/return/address,0.52 [0.2],28807.17136232929,228,110,0.485,1240,6570000,00.0,00.2
/post /v1/checkout/pgResponse,0.99 [0.2],273424.8824455524,22.9,90.9,0.445,2500,6250000,00.0,00.0
/post /v1/user/forgotpassword,0.87 [0.2],47901.27883325059,118,112,0.436,1280,5630000,00.0,00.1
/post /v1/checkout/order/cod,0.24 [0.2],51104.264940232504,110,276,0.457,2830,5620000,00.0,00.0
/post /v1/checkout/address,0.55 [0.2],34308.08169306827,161,144,0.458,1060,5530000,00.0,00.1
/post /v1/user/checkout/login,1.0 [0.2],63894.61746850027,79.5,47.1,0.442,1750,5080000,00.0,00.0
/put /v1/account/:id,0.73 [0.2],30884.422747333247,158,101,0.495,812,4890000,00.0,00.1
/get /v1/account/cards,0.5 [0.2],21860.08575674511,203,136,0.457,1070,4440000,00.0,00.1
/get /v1/order/reasons/secondary/:primaryReasonId,0.52 [0.2],18493.061237865073,239,216,0.463,817,4430000,00.0,00.1
/post /v1/user/login/fb,0.0 [0.2],128934.49601352746,31.7,169,0.494,3280,4090000,00.0,01.8
/get /v1/products/sku/:sku,0.99 [0.2],45219.16390179164,73.7,76.7,0.483,2100,3330000,00.0,00.0
/delete /v1/cart/voucher/:couponCode,0.63 [0.2],19910.82649271498,147,113,0.486,1010,2930000,00.0,00.1
/post /v1/checkout/order/netbanking,0.61 [0.2],24717.627643725467,110,244,0.458,5060,2710000,00.0,00.0
/post /v1/checkout/guest/address,0.96 [0.2],20817.794204602913,127,51.5,0.497,558,2640000,00.0,00.0
/post /v1/order/return/review,0.49 [0.2],11136.884995919865,227,226,0.51,1610,2530000,00.0,00.0
/delete /v1/account/address/:addressId,0.5 [0.2],13268.325592258598,190,111,0.466,725,2520000,00.0,00.1
/get /v1/address/locality/:pincode,1.0 [0.2],122938.65566157542,19.9,13.5,0.441,1020,2440000,00.0,00.0
/post /v1/order/return/summary,0.58 [0.2],10070.185381631922,228,232,0.478,1090,2290000,00.0,00.0
/put /v1/account/address,0.91 [0.2],14424.606327589174,146,60.2,0.527,628,2110000,00.0,00.0
/post /v1/checkout/set/address,0.63 [0.2],12428.374111485222,153,114,0.462,734,1900000,00.0,00.0
/delete /v1/shortlist/multi/:skus,0.98 [0.2],26132.373039915197,72.0,101,0.437,3270,1880000,00.0,00.0
/post /v1/account/address,0.95 [0.2],12678.489723551485,141,53.8,0.458,565,1790000,00.0,00.0
/get /v1/order/return/initiate,0.22 [0.2],7488.9702340183585,237,324,0.466,1880,1770000,00.0,00.0
/post /v1/checkout/order/creditdebit,0.5 [0.2],18438.887808689287,92.8,229,0.466,3230,1710000,00.0,00.0
/post /v1/checkout/order/express,0.32 [0.2],14649.777474944447,110,264,0.478,2220,1610000,00.0,00.0
/get /v1/products/sizechart/sku/:sku,1.0 [0.2],55785.75309192712,24.7,18.8,0.456,482,1380000,00.0,00.0
/post /v1/user/checkout/guestlogin,0.63 [0.2],7179.211547415066,163,184,0.487,1150,1170000,00.0,00.0
/post /v1/account/bankDetails,0.77 [0.2],5962.621586981071,182,62.9,0.599,725,1090000,00.0,00.0
/get /v1/order/listing/detail,0.47 [0.2],3898.5543186306245,235,251,0.492,1550,915000,00.0,00.0
/get /v1/order/exchange/initiate,0.24 [0.2],2660.9554865509244,246,351,0.579,2330,654000,00.0,00.0
/post /v1/order/exchange/address,0.53 [0.2],1841.7578307742997,250,233,0.65,901,460000,00.0,00.0
/get /v1/order/exchange/address/check,0.68 [0.2],1602.9214505621328,188,74.6,0.784,526,302000,00.0,00.0
/get /v1/products/:id,0.99 [0.2],3980.8119967622374,74.3,72.2,0.545,2050,296000,00.0,00.0
/post /v1/order/exchange/summary,0.3 [0.2],1119.9304088439444,253,370,0.748,1630,283000,00.0,00.0
/post /v1/appcallback,0.99 [0.2],1932.1774947056524,90.9,47.4,0.509,280,176000,00.0,00.0
/get /v1/stock/multi/sku/:simples,1.0 [0.2],12148.619306487473,13.3,10.1,1.14,279,162000,00.0,00.0
/delete /v1/account/cards/:cardtoken,0.5 [0.2],714.8480683780871,200,143,0.674,527,143000,00.0,00.0
/post /v1/order/address,0.67 [0.2],784.0449508217151,174,133,0.6,633,137000,00.0,00.0
/get /v1/checkout/pgResponse,1.0 [0.2],20857.0,4.95,7.37,1.75,201,103000,00.0,00.0
/delete /v1/account/bankDetails/:accountId,0.81 [0.2],580.0761680801344,166,67.4,0.522,294,96300,00.0,00.0
/get /v1/referral/code,0.89 [0.2],535.4697375027781,141,69.4,0.566,284,75300,00.0,00.0
/post /v1/cart/look,0.75 [0.2],372.9155434398506,140,123,0.829,718,52200,00.0,00.0
/get /v1/order/exchange/serviceability,0.56 [0.2],183.5297751887102,208,76.4,4.91,391,38300,00.0,00.0
/get /v1/user/jc,0.76 [0.2]*,38.71329537749343,181,90.5,7.18,370,7010,00.0,00.0
/get /v1/order/:orderNumber,0.33 [0.2]*,44.0,140,277,1.06,1050,6170,00.0,00.0
/get /v1/referral/history,1.0 [0.2]*,49.88950719981642,120,47.9,14.1,178,5980,00.0,00.0
get /,0.9 [0.2],968.1334471498626,5.79,25.2,0.797,770,5610,00.0,00.0
delete /,1.0 [0.2],139.0,3.7,2.82,1.73,22.7,515,00.0,00.0
/get /v1/brand,NS [0.2]*,3.0,136,97.1,38.0,232,409,00.0,00.0
post /,0.81 [0.2]*,36.0,6.89,5.67,1.94,26.8,248,00.0,00.0
put /,1.0 [0.2]*,4.0,7.69,2.04,5.25,9.89,30.8,00.0,00.0
head /,1.0 [0.2]*,2.0,8.73,0.837,8.14,9.32,17.5,00.0,00.0
