Action,Apdex,Count,Avg (ms),SD (ms),Min (ms),Max (ms),Total (ms),Total (% time),Dissat (%)
Root path,0.98 [0.2],531089023.3470956,52.7,78.6,0.351,60000,28000000000,100.0,100.0
/get /v1/search,0.98 [0.2],133833970.5525121,71.4,71.1,0.369,13900,9560000000,36.7,36.6
/get /v1/products/dynamic/sku/:sku,0.99 [0.2],63564666.8572801,63.1,66.6,0.372,15500,4010000000,15.4,09.3
/get /v2/products/sku/:sku,1.0 [0.2],46507239.47070462,45.0,45.3,0.397,23500,2090000000,08.0,01.1
/get /v1/products/recentlist,1.0 [0.2],64710051.589144185,29.1,52.4,0.355,10000,1880000000,07.2,01.5
/get /v1/search/suggest,0.93 [0.2],13166604.270503333,85.2,113,0.412,31100,1120000000,04.3,09.9
/get /v1/search/recommend/:type,1.0 [0.2],43234177.787435524,25.8,19.6,0.406,3950,1110000000,04.3,00.6
/get /v1/shortlist,0.99 [0.2],20655857.89082425,38.6,58.2,0.375,13600,796000000,03.1,03.0
/post /v1/shortlist,0.92 [0.2],6706487.624232304,96.5,107,0.351,60000,647000000,02.5,05.1
/get /v1/banner,0.96 [0.2],4407913.830529409,144,181,0.416,23400,633000000,02.4,01.9
/get /v1/cart,0.72 [0.2],4379218.243992818,144,168,0.38,34100,629000000,02.4,09.8
/get /v1/search/trending,1.0 [0.2],5388900.717087732,102,46.5,0.441,16700,549000000,02.1,00.1
/post /v1/cart,0.69 [0.2],2726214.6214901204,148,229,0.393,18800,402000000,01.5,05.0
/get /v1/initapi,1.0 [0.2],6982597.664604229,56.9,30.8,0.422,5070,397000000,01.5,00.1
/get /v1/initapi/getsegmentkey,0.99 [0.2],13954846.538650686,25.0,97.7,0.431,21500,349000000,01.3,01.3
/post /v1/device/voucher,1.0 [0.2],3054550.3253771286,103,55.3,0.411,7370,314000000,01.2,00.1
/delete /v1/shortlist/:sku,1.0 [0.2],5662907.995471025,31.5,19.2,0.364,7690,179000000,00.7,00.0
/get /v1/initapi/timestamps,0.99 [0.2],6912019.762800645,24.4,121,0.47,20700,168000000,00.6,00.7
/delete /v1/cart/:sku,0.61 [0.2],763198.6354189813,197,195,0.416,12100,151000000,00.6,02.3
/get /v1/cart/voucher,0.86 [0.2],1154499.3355215755,112,161,0.389,16900,129000000,00.5,01.4
/post /v1/cart/voucher,0.5 [0.2],226022.94884299993,356,150,0.517,8420,80500000,00.3,01.2
/get /v1/offer,1.0 [0.2],694538.9251689787,104,62.1,0.438,5910,72600000,00.3,00.0
/get /v1/order/status/time/from/:fromMonth/to/:toMonth/:status,0.4 [0.2],136492.99380124107,481,547,0.462,24600,65600000,00.3,00.6
/get /v2/order/:orderNumber,0.09 [0.2],96572.10471881695,666,529,0.468,11900,64300000,00.2,00.6
/get /v1/checkout/payment/methods,0.69 [0.2],363277.82517698454,162,348,0.402,19300,58800000,00.2,00.5
/post /v1/device/info,1.0 [0.2],466113.4135223362,118,56.2,0.499,4500,55000000,00.2,00.0
/get /v1/user/postlogin,0.69 [0.2],231813.46835343767,230,148,0.521,4860,53200000,00.2,00.7
/get /v1/checkout/order,0.72 [0.2],331393.7949818071,129,349,0.401,23000,42600000,00.2,00.4
/post /v1/user/login,0.94 [0.2],453831.225900898,86.8,231,0.422,26700,39400000,00.2,00.2
/post /v1/shortlist/cart/move,0.85 [0.2],158699.50102768038,185,278,0.472,7680,29400000,00.1,00.3
/get /v1/products/sku/:sku,1.0 [0.2],793870.4085434,32.4,53.1,0.4,25400,25700000,00.1,00.0
/post /v1/tinyurl,0.98 [0.2],158613.0628569935,161,44.8,0.514,4510,25500000,00.1,00.0
/get /v1/juice/categories,0.99 [0.2],222763.37542153557,112,75.3,0.452,4390,24900000,00.1,00.0
/get /v1/checkout/address,0.85 [0.2],321764.592357073,72.7,144,0.381,31100,23400000,00.1,00.2
/get /v1/products/tat/:sku,0.86 [0.2],143693.53292356557,155,106,0.456,4930,22300000,00.1,00.2
/post /v1/checkout/success,0.55 [0.2],65829.8688015685,238,75.7,0.543,4080,15600000,00.1,00.3
/put /v1/cart,0.49 [0.2],43748.09167539446,356,175,0.5,3600,15600000,00.1,00.2
/post /v1/order/return/address,0.51 [0.2],43906.25029616642,296,87.8,0.764,3750,13000000,00.0,00.2
/post /v1/user,0.64 [0.2],50295.666154175444,257,136,0.543,3440,12900000,00.0,00.2
/post /v1/checkout/set/address,0.87 [0.2],244197.37170176022,49.8,139,0.418,9020,12200000,00.0,00.1
/get /v1/order/reasons/secondary/:primaryReasonId,0.5 [0.2],26639.6153261738,434,175,0.644,4020,11600000,00.0,00.1
/get /v1/account/bankDetails,0.69 [0.2],52412.35016535732,209,79.9,0.611,3570,11000000,00.0,00.2
/get /v1/order,0.45 [0.2],20909.828833598025,486,308,0.576,4950,10200000,00.0,00.1
/get /v1/juice/article/:id,0.98 [0.2],79313.80469840109,126,104,0.509,3840,9980000,00.0,00.0
/get /v1/checkout/lookup,0.84 [0.2],56053.50621511757,178,91.0,0.499,4760,9980000,00.0,00.1
/get /v1/account/smsoptstatus,0.99 [0.2],58966.24355239532,156,47.2,0.538,4260,9230000,00.0,00.0
/post /v1/checkout/address,0.69 [0.2],52634.39676102776,156,315,0.399,16400,8200000,00.0,00.1
/get /v1/account/:id,0.87 [0.2],46486.287529245696,160,144,0.476,4510,7420000,00.0,00.1
/post /v1/checkout/order/cod,0.82 [0.2],56419.499713239515,125,592,0.417,30800,7060000,00.0,00.0
/post /v1/user/logout/:userId,0.53 [0.2],27129.003975340795,259,92.2,0.613,3960,7020000,00.0,00.1
/get /v2/products/:id,0.99 [0.2],108217.14377208734,62.6,121,0.506,4360,6770000,00.0,00.0
