Action,Apdex,Count,Avg (ms),SD (ms),Min (ms),Max (ms),Total (ms),Total (% time),Dissat (%)
/post /v1/order/address,0.59 [0.2],1025.0327093850963,290,121,1.47,559,297000,00.0,00.0
/delete /v1/account/cards/:cardtoken,0.53 [0.2],983.0560247770767,272,100,1.0,556,267000,00.0,00.0
/get /v1/order/:orderNumber,0.08 [0.2],323.0089658980359,682,465,5.63,2550,220000,00.0,00.0
/delete /v1/account/bankDetails/:accountId,0.65 [0.2],738.0834207172735,199,52.6,0.888,310,147000,00.0,00.0
/get /v1/stock/multi/sku/:simples,1.0 [0.2],8643.228397764147,17.0,11.5,5.75,462,147000,00.0,00.0
/get /v1/order/exchange/serviceability,0.71 [0.2],481.2086008689929,219,55.9,7.09,414,105000,00.0,00.0
/post /v1/social/recommendation/friends,1.0 [0.2],1223.2633003617598,84.9,42.2,0.561,1010,104000,00.0,00.0
/get /v1/checkout/pgResponse,1.0 [0.2],12899.348931156372,5.91,9.24,1.89,431,76200,00.0,00.0
/get /v1/referral/history,0.99 [0.2],390.2028852539378,156,31.5,0.918,379,61000,00.0,00.0
/post /v1/cart/look,0.66 [0.2],228.7910559202773,232,162,0.591,669,53100,00.0,00.0
get /,1.0 [0.2],6786.689889322044,5.32,7.46,0.531,460,36100,00.0,00.0
/get /v1/user/jc,0.74 [0.2]*,80.50277667276633,195,73.5,12.4,315,15700,00.0,00.0
delete /,1.0 [0.2],602.0,4.14,3.19,1.88,25.5,2490,00.0,00.0
/get /v1/brand,0.0 [0.2]*,1.0,939,0,939,939,939,00.0,00.0
post /,0.25 [0.2]*,12.0,3.81,1.01,2.57,5.67,45.8,00.0,00.0
head /,1.0 [0.2]*,3.0,8.61,1.48,7.48,10.3,25.8,00.0,00.0
