Action,Apdex,Count,Avg (ms),SD (ms),Min (ms),Max (ms),Total (ms),Total (% time),Dissat (%)
Root path,0.98 [0.2],588710814.4698468,65.0,81.9,0.383,15900,38300000000,100.0,100.0
/get /v1/search,0.98 [0.2],140016218.26915377,85.0,66.1,0.389,6140,11900000000,33.9,32.9
/get /v1/products/dynamic/sku/:sku,0.98 [0.2],65567489.35119,95.9,66.4,0.437,6490,6290000000,17.9,09.9
/get /v2/products/sku/:sku,1.0 [0.2],64891432.597184256,45.4,42.1,0.424,6480,2950000000,08.4,01.0
/get /v1/products/recentlist,1.0 [0.2],59425009.330146275,46.4,55.9,0.469,8470,2760000000,07.8,01.1
/get /v1/search/recommend/:type,1.0 [0.2],70155874.11278978,25.7,22.6,0.44,5330,1800000000,05.1,00.8
/get /v1/search/suggest,0.95 [0.2],18679859.446229856,75.2,103,0.424,5590,1410000000,04.0,08.8
/get /v1/shortlist,0.98 [0.2],18379132.861374475,61.1,63.4,0.383,6450,1120000000,03.2,03.0
/get /v1/banner,0.97 [0.2],7158666.431830918,137,175,0.409,7750,983000000,02.8,02.3
/get /v1/cart,0.68 [0.2],4607985.819468459,209,94.8,0.426,10300,963000000,02.7,13.3
/get /v1/search/trending,1.0 [0.2],7320619.61869689,101,20.1,0.426,4450,738000000,02.1,00.0
/get /v1/initapi/getsegmentkey,0.99 [0.2],23467025.373697635,24.5,92.6,0.432,8410,574000000,01.6,01.6
/post /v1/cart,0.51 [0.2],1396196.5146400817,330,185,0.448,4290,460000000,01.3,05.1
/post /v1/shortlist,0.91 [0.2],3860154.2138911444,113,108,0.426,4540,438000000,01.2,03.2
/post /v1/device/voucher,1.0 [0.2],3428974.3701179135,101,28.7,0.428,4650,345000000,01.0,00.0
/get /v1/initapi/timestamps,0.99 [0.2],10670502.272493338,28.5,132,0.423,15900,304000000,00.9,01.0
/delete /v1/cart/:sku,0.53 [0.2],684750.324126822,285,150,0.458,3400,195000000,00.6,02.6
/get /v1/order/status/time/from/:fromMonth/to/:toMonth/:status,0.36 [0.2],384362.0276907291,502,606,0.462,11300,193000000,00.5,01.4
/get /v1/cart/voucher,0.91 [0.2],1419567.527073659,129,94.3,0.427,3540,183000000,00.5,01.2
/get /v2/order/:orderNumber,0.07 [0.2],276322.2856358583,632,548,0.47,7380,175000000,00.5,01.3
/get /v1/initapi,1.0 [0.2],3846882.5051179705,44.1,31.5,0.481,2570,170000000,00.5,00.0
/get /v1/offer,1.0 [0.2],1312831.977309377,101,16.8,0.438,3440,133000000,00.4,00.0
/delete /v1/shortlist/:sku,1.0 [0.2],2507575.2919244715,40.4,24.5,0.447,4060,101000000,00.3,00.0
/get /v1/checkout/payment/methods,0.35 [0.2],258671.93655197686,378,367,0.44,5320,97700000,00.3,00.8
/post /v1/device/info,1.0 [0.2],770912.2682617198,114,24.9,0.45,3490,87900000,00.2,00.0
/post /v1/cart/voucher,0.5 [0.2],228356.05830063004,327,169,0.5,3620,74700000,00.2,00.9
/get /v1/checkout/order,0.28 [0.2],163120.86595420446,375,382,0.458,3990,61200000,00.2,00.5
/post /v1/shortlist/cart/move,0.89 [0.2],404820.42088687967,141,240,0.499,4970,56900000,00.2,00.4
/get /v1/user/postlogin,0.74 [0.2],216702.92965782262,197,111,0.508,3080,42600000,00.1,00.5
/post /v1/tinyurl,0.99 [0.2],261007.7345611037,159,33.6,0.477,2180,41500000,00.1,00.0
/get /v1/juice/categories,1.0 [0.2],315151.9679507498,110,61.1,0.452,7640,34800000,00.1,00.0
/post /v1/checkout/success,0.58 [0.2],129174.09745118346,218,82.5,0.497,2790,28100000,00.1,00.5
/get /v1/checkout/address,0.84 [0.2],127884.93260018383,191,90.4,0.473,2340,24400000,00.1,00.2
/get /v1/account/smsoptstatus,0.99 [0.2],153948.5698787346,154,34.0,0.493,2170,23800000,00.1,00.0
/post /v1/user/login,0.97 [0.2],229636.62582571004,102,129,0.459,3150,23500000,00.1,00.1
/get /v1/checkout/lookup,0.9 [0.2],144183.0987799782,155,66.0,0.499,2320,22400000,00.1,00.1
/put /v1/cart,0.49 [0.2],67719.22784057206,324,198,0.5,3100,21900000,00.1,00.2
/get /v1/products/tat/:sku,0.93 [0.2],158837.6312586287,127,72.1,0.456,2170,20100000,00.1,00.1
/get /v1/order/reasons/secondary/:primaryReasonId,0.5 [0.2],43511.054398705994,449,159,0.55,2500,19500000,00.1,00.2
/get /v1/order,0.47 [0.2],40286.99083765142,461,258,0.504,4790,18600000,00.1,00.2
/post /v1/order/return/address,0.51 [0.2],51946.69123954142,299,92.3,0.537,2440,15500000,00.0,00.2
/get /v1/account/bankDetails,0.65 [0.2],71785.71092463336,204,75.2,0.511,3530,14700000,00.0,00.2
/get /v1/juice/article/:id,0.99 [0.2],107534.95448774821,130,97.6,0.509,5110,13900000,00.0,00.0
/get /v2/order/:orderNumber/cancel/list,0.48 [0.2],28446.64804377798,412,229,0.512,3490,11700000,00.0,00.1
/post /v1/user/logout/:userId,0.55 [0.2],46108.13420116448,244,83.5,0.587,2560,11200000,00.0,00.2
/get /v1/account/:id,0.89 [0.2],72515.76288521677,155,132,0.476,4400,11200000,00.0,00.1
/post /v1/user,0.69 [0.2],47251.77570918075,236,117,0.484,1490,11200000,00.0,00.1
/post /v1/order/return/review,0.5 [0.2],23866.07639246371,450,194,0.508,3620,10700000,00.0,00.1
/get /v2/products/:id,0.99 [0.2],174424.9389759727,60.1,125,0.506,5400,10500000,00.0,00.0
/post /v1/checkout/order/cod,0.22 [0.2],25191.432570212222,349,531,0.466,5030,8790000,00.0,00.1
/post /v1/checkout/address,0.55 [0.2],30301.532926359607,279,128,0.476,2400,8460000,00.0,00.1
/post /v1/order/return/summary,0.51 [0.2],17614.50735547629,449,229,0.597,2650,7920000,00.0,00.1
/post /v1/checkout/pgResponse,0.97 [0.2],163819.61951636433,43.4,160,0.524,3020,7110000,00.0,00.0
/get /v1/account/cards,0.52 [0.2],21766.890883989185,276,96.2,0.579,2390,6000000,00.0,00.1
/get /v1/account/address,1.0 [0.2],87771.554050963,57.1,25.2,0.482,2080,5010000,00.0,00.0
/put /v1/account/:id,0.65 [0.2],23142.80168230346,212,97.6,0.579,2260,4910000,00.0,00.1
/post /v1/user/checkout/login,0.99 [0.2],53161.966059841856,87.9,73.0,0.457,2010,4670000,00.0,00.0
/get /v1/order/return/initiate,0.29 [0.2],8906.222520672298,503,330,0.46,3760,4480000,00.0,00.0
/post /v1/user/forgotpassword,0.77 [0.2],25742.49959964311,174,127,0.485,1460,4480000,00.0,00.1
/post /v1/checkout/guest/address,0.97 [0.2],29592.627608903764,145,38.2,0.564,621,4280000,00.0,00.0
/delete /v1/account/address/:addressId,0.55 [0.2],17542.770836193875,237,84.1,0.642,2240,4150000,00.0,00.1
/post /v1/checkout/set/address,0.62 [0.2],18193.457773392944,225,101,0.512,2340,4100000,00.0,00.1
/post /v1/checkout/order/netbanking,0.33 [0.2],12471.574078688933,327,485,0.508,5780,4080000,00.0,00.0
/delete /v1/cart/voucher/:couponCode,0.52 [0.2],14122.379136979675,285,126,0.624,1310,4020000,00.0,00.1
/get /v1/products/sku/:sku,0.98 [0.2],42603.63020827377,91.3,179,0.537,5420,3890000,00.0,00.0
/post /v1/user/checkout/guestlogin,0.54 [0.2],8456.312430859001,370,187,0.502,1920,3130000,00.0,00.0
/post /v1/checkout/order/express,0.23 [0.2],9330.223368964245,331,472,0.529,4420,3090000,00.0,00.0
/post /v1/user/login/fb,0.0 [0.2],51566.11044576642,58.7,288,0.532,3680,3030000,00.0,00.5
/get /v1/order/listing/detail,0.48 [0.2],6272.005861448059,469,194,0.798,3170,2940000,00.0,00.0
/put /v1/account/address,0.9 [0.2],13758.413162645928,166,46.9,0.605,883,2290000,00.0,00.0
/post /v1/checkout/order/creditdebit,0.42 [0.2],8649.831341399436,260,429,0.544,3300,2250000,00.0,00.0
/post /v1/account/bankDetails,0.59 [0.2],8224.180987856907,212,53.6,0.706,1550,1750000,00.0,00.0
/delete /v1/shortlist/multi/:skus,0.94 [0.2],15018.586495649688,106,146,0.58,4650,1590000,00.0,00.0
/get /v1/address/locality/:pincode,1.0 [0.2],59241.3178984862,24.6,21.0,0.643,2030,1460000,00.0,00.0
/get /v1/products/sizechart/sku/:sku,1.0 [0.2],40428.53474935362,33.6,30.7,0.48,2030,1360000,00.0,00.0
/get /v1/order/exchange/initiate,0.31 [0.2],2373.7625004480446,531,340,0.818,1700,1260000,00.0,00.0
/post /v1/order/exchange/address,0.5 [0.2],2330.704399370468,476,224,0.927,1930,1110000,00.0,00.0
/post /v1/account/address,0.95 [0.2],5974.136156111207,159,42.9,0.608,432,952000,00.0,00.0
/post /v1/order/exchange/summary,0.38 [0.2],1148.9869750424584,515,356,0.856,1530,591000,00.0,00.0
/get /v1/referral/code,0.93 [0.2],2676.3340976089094,178,42.5,0.738,1370,475000,00.0,00.0
/get /v1/order/exchange/address/check,0.54 [0.2],1895.7603757502982,230,66.4,1.22,1240,436000,00.0,00.0
/post /v1/appcallback,0.99 [0.2],2698.052709311103,139,46.1,0.601,387,374000,00.0,00.0
/get /v1/products/:id,0.99 [0.2],3347.2366967198645,90.3,135,0.776,2850,302000,00.0,00.0
