Action,Apdex,Count,Avg (ms),SD (ms),Min (ms),Max (ms),Total (ms),Total (% time),Dissat (%)
Root path,0.98 [0.2],574964376.249103,58.9,87.7,0.333,60000,33900000000,100.0,100.0
/get /v1/search,0.96 [0.2],138605968.0882264,81.3,83.9,0.362,16600,11300000000,36.5,39.0
/get /v1/products/dynamic/sku/:sku,0.99 [0.2],65013185.604030736,64.6,67.4,0.357,8570,4200000000,13.6,07.2
/get /v2/products/sku/:sku,1.0 [0.2],45028733.77919532,50.8,49.5,0.379,19600,2290000000,07.4,00.9
/get /v1/products/recentlist,1.0 [0.2],64744292.8839184,28.7,54.2,0.353,7560,1860000000,06.0,01.3
/get /v1/shortlist,0.99 [0.2],29338703.162176166,47.2,55.6,0.333,5780,1380000000,04.5,03.2
/get /v1/search/suggest,0.91 [0.2],13187814.587239802,103,129,0.414,6700,1360000000,04.4,09.1
/get /v1/search/recommend/:type,1.0 [0.2],42357536.33339273,29.3,28.1,0.401,4050,1240000000,04.0,00.5
/get /v1/cart,0.71 [0.2],7211874.593223138,153,136,0.377,15700,1100000000,03.6,12.6
/get /v1/banner,0.97 [0.2],5506185.519348568,131,178,0.445,8880,722000000,02.3,01.3
/post /v1/cart,0.63 [0.2],3047887.5523542664,218,222,0.372,16300,663000000,02.1,05.9
/get /v1/search/trending,1.0 [0.2],6050361.067126152,104,28.7,0.458,8240,631000000,02.0,00.0
/get /v1/initapi/getsegmentkey,0.99 [0.2],14480730.199657021,33.9,127,0.438,15500,491000000,01.6,01.4
/post /v1/shortlist,1.0 [0.2],14650019.328492165,31.7,18.5,0.356,3100,464000000,01.5,00.0
/post /v1/device/voucher,1.0 [0.2],4197073.65877662,91.3,77.8,0.413,14000,383000000,01.2,00.1
/delete /v1/shortlist/:sku,1.0 [0.2],12865329.471732784,26.5,14.3,0.352,3060,341000000,01.1,00.0
/delete /v1/cart/:sku,0.67 [0.2],2080260.191565432,164,180,0.392,14400,341000000,01.1,03.4
/get /v1/initapi,1.0 [0.2],9288695.141891683,36.2,33.6,0.439,5490,336000000,01.1,00.2
/get /v1/initapi/timestamps,0.99 [0.2],5533935.967853471,35.3,144,0.497,23000,195000000,00.6,00.6
/post /v1/cart/voucher,0.5 [0.2],458867.1842431792,365,144,0.515,3590,168000000,00.5,01.7
/get /v1/order/status/time/from/:fromMonth/to/:toMonth/:status,0.44 [0.2],280934.679104258,544,616,0.512,59900,153000000,00.5,00.9
/get /v2/order/:orderNumber,0.1 [0.2],180373.24038758638,704,483,0.494,7820,127000000,00.4,00.8
/get /v1/cart/voucher,0.91 [0.2],1019767.8604007886,114,243,0.359,16600,116000000,00.4,00.5
/get /v1/checkout/payment/methods,0.62 [0.2],467966.1591631014,244,350,0.388,18800,114000000,00.4,00.7
/get /v1/checkout/order,0.66 [0.2],415724.8567916089,184,325,0.381,18100,76500000,00.2,00.5
/get /v1/offer,1.0 [0.2],679005.6531164071,104,28.4,0.599,6050,70500000,00.2,00.0
/post /v1/shortlist/cart/move,0.81 [0.2],290443.84523710265,220,280,0.514,4290,64000000,00.2,00.4
/get /v1/user/postlogin,0.67 [0.2],237457.09395337888,243,114,0.528,3190,57700000,00.2,00.6
/post /v1/user/login,0.88 [0.2],667546.7616161022,83.2,216,0.39,60000,55500000,00.2,00.2
/post /v1/device/info,1.0 [0.2],435024.64055033604,117,29.9,0.634,3680,50900000,00.2,00.0
/get /v1/checkout/address,0.82 [0.2],424582.0778498913,106,129,0.383,5270,44900000,00.1,00.4
/put /v1/cart,0.5 [0.2],76830.72929098073,383,167,0.674,5030,29400000,00.1,00.3
/post /v1/checkout/success,0.56 [0.2],114580.53935288117,248,61.3,0.615,2470,28400000,00.1,00.4
/post /v1/tinyurl,0.97 [0.2],166231.87961320594,167,29.0,0.591,3050,27800000,00.1,00.0
/get /v1/products/tat/:sku,0.83 [0.2],162985.42961910632,170,83.0,0.585,2310,27600000,00.1,00.2
/get /v1/juice/categories,1.0 [0.2],204140.36776437968,114,71.0,0.51,3870,23300000,00.1,00.0
/get /v1/order,0.46 [0.2],41903.899713251565,506,265,0.694,4270,21200000,00.1,00.1
/post /v1/checkout/set/address,0.82 [0.2],287400.1373311971,70.5,112,0.404,6750,20300000,00.1,00.2
/get /v1/order/reasons/secondary/:primaryReasonId,0.5 [0.2],43485.829849638445,455,152,0.651,4540,19800000,00.1,00.1
/post /v1/user,0.64 [0.2],71233.14918933589,270,122,0.773,2180,19200000,00.1,00.2
/get /v1/checkout/lookup,0.84 [0.2],102985.40783196937,185,70.3,0.585,2320,19000000,00.1,00.1
/post /v1/order/return/address,0.53 [0.2],59587.57552771311,299,85.4,0.834,2440,17800000,00.1,00.2
/get /v1/account/smsoptstatus,0.98 [0.2],108393.69546843403,162,30.5,0.589,2490,17600000,00.1,00.0
/get /v1/account/bankDetails,0.59 [0.2],71660.04234136293,216,69.1,0.698,2230,15500000,00.1,00.2
/post /v1/checkout/address,0.65 [0.2],78467.47241644829,194,191,0.423,15600,15200000,00.0,00.2
/post /v1/user/logout/:userId,0.54 [0.2],56589.53728847088,267,71.5,0.793,3630,15100000,00.0,00.2
/post /v1/order/return/review,0.5 [0.2],24444.603131007963,459,180,0.741,2650,11200000,00.0,00.1
/delete /v1/cart/voucher/:couponCode,0.51 [0.2],34339.25471078109,315,108,0.716,4570,10800000,00.0,00.1
/get /v1/account/:id,0.86 [0.2],56345.54157620779,171,150,0.467,4700,9640000,00.0,00.1
/get /v2/order/:orderNumber/cancel/list,0.49 [0.2],18453.590018571314,463,181,0.683,2920,8540000,00.0,00.1
/post /v1/order/return/summary,0.51 [0.2],18194.321141461358,448,216,0.785,2930,8160000,00.0,00.1
/get /v1/account/cards,0.51 [0.2],25970.919494192367,306,82.5,0.614,4350,7960000,00.0,00.1
/get /v2/products/:id,0.98 [0.2],108534.9079923098,71.4,138,0.547,5500,7750000,00.0,00.0
/post /v1/checkout/order/cod,0.68 [0.2],30862.99542184434,251,554,0.417,24900,7750000,00.0,00.0
/post /v1/user/forgotpassword,0.68 [0.2],29932.575804642613,227,137,0.536,3840,6800000,00.0,00.1
/get /v1/products/sku/:sku,0.99 [0.2],127378.98149465145,52.1,108,0.419,5670,6640000,00.0,00.0
/post /v1/checkout/pgResponse,0.95 [0.2],83221.64749579855,72.0,214,0.506,3350,5990000,00.0,00.0
/put /v1/account/:id,0.6 [0.2],23834.62887821529,241,89.9,0.703,2260,5750000,00.0,00.1
/post /v1/user/login/fb,0.0 [0.2],43151.55177149135,124,406,0.557,8020,5330000,00.0,00.3
/get /v1/order/return/initiate,0.3 [0.2],9345.38973461746,541,310,0.836,2970,5060000,00.0,00.0
/get /v1/order/listing/detail,0.48 [0.2],9900.860872252444,492,187,0.878,2780,4870000,00.0,00.0
/get /v1/juice/article/:id,0.96 [0.2],27141.915918027025,147,146,0.841,6910,3990000,00.0,00.0
/delete /v1/account/address/:addressId,0.51 [0.2],15390.611494027324,259,68.7,0.649,624,3990000,00.0,00.1
